,location,max_T,min_T,diff_max_T,diff_min_T,Precip_A,Precip_P,Probability,Quality
173,KGEG,74,63,12.2896236,-3.684571272,Rain-Thunderstorm,None,0.538,0.9
174,KGPT,93,75,-1.428415061,0.763983316,None,None,0.548,0.95
175,KGRB,83,59,0.187245037,1.368723241,None,None,0.586,0.95
176,KGSB,96,73,-6.196203008,-1.284369311,None,Rain,0.876,0.95
177,KGSO,91,72,-1.855410469,-0.782989381,None,None,0.492,0.95
178,KGSP,96,71,-6.135091528,-0.263472164,Rain,None,0.648,0.95
179,KGUS,80,57,5.323987752,8.595233447,Fog-Rain,Rain,0.948,0.842857143
180,KHIB,82,53,-4.254372688,-3.387370976,None,None,0.546,0.95
181,KHMN,91,63,3.966339567,8.088958295,Rain,Rain,0.626,0.807142857
182,KHOU,93,75,0.384606159,0.663328634,None,Rain,0.506,0.9
183,KHSV,97,75,-5.347575925,-3.118538345,None,None,0.662,0.95
184,KHTS,77,65,9.792194766,1.425483983,Rain,None,0.774,0.95
185,KIAD,84,64,5.06231492,5.369430576,Rain,None,0.816,0.85
186,KIAH,93,75,-0.23903235,1.323028545,None,Rain,0.648,0.95
187,KICT,91,74,3.545947084,-2.64937082,None,None,0.664,0.8
188,KIND,78,59,8.685176695,10.09806058,None,None,0.598,0.9
189,KJAN,94,76,-2.085337659,-2.800753862,Rain-Thunderstorm,Rain,0.52,0.85
190,KJAX,96,73,-5.086050814,-0.613628471,Rain-Thunderstorm,None,0.688,0.95
191,KJFK,86,70,-0.90989035,0.91085153,None,Rain,0.6,0.75
192,KJLN,90,73,3.189458261,-2.506716655,None,None,0.568,0.85
193,KLAS,96,75,9.273378946,8.877600041,None,None,0.438,0.95
194,KLAX,73,62,0.843081023,1.945261632,None,Fog,0.364,0.95
195,KLBB,88,70,6.792109692,-0.121292779,Rain,None,0.472,0.95
196,KLCK,80,62,6.53178295,5.417767183,None,None,0.584,0.85
197,KLEX,82,66,5.725921263,1.408798684,None,Rain,0.5,0.85
198,KLFI,82,71,4.604762535,2.291927119,Fog-Rain-Thunderstorm,Rain,1,0.892857143
199,KLFT,95,75,-3.431019549,-0.09251895,Thunderstorm,None,0.38,0.95
200,KLGA,86,72,0.564525212,0.640889902,None,Rain,0.882,0.95
201,KLIT,93,76,-0.208105596,-2.455908433,None,None,0.498,0.9
202,KLTS,95,71,3.099394474,1.450809706,None,Rain,0.992,0.857142857
203,KLUF,102,84,2.913290003,-0.127742565,Rain,Rain,0.684,0.928571429
204,KMBS,84,62,-1.900278527,0.695746444,None,None,0.51,0.95
205,KMCF,95,77,-4.313283183,-2.039402322,Rain-Thunderstorm,Rain,0.658,0.9
206,KMCI,90,69,-0.583188354,0.633255105,None,None,0.542,0.9
207,KMCO,97,74,-5.420091752,-0.111139805,Rain-Thunderstorm,Rain,0.39,0.9
208,KMDW,81,65,3.807584778,3.833715619,Rain,None,0.842,0.9
209,KMEM,95,77,-3.341171449,-1.934009058,None,None,0.774,0.9
210,KMGE,93,73,-4.598371993,-1.833052766,None,None,0.64,0.9
211,KMGM,94,76,-0.122696758,-2.670268469,Rain-Thunderstorm,None,0.662,0.85
212,KMHT,89,63,-4.66852809,2.951412361,None,None,0.602,0.9
213,KMIA,92,79,-1.992099038,-2.406523424,None,Rain,0.514,0.85
214,KMKE,78,63,3.096061138,1.510827794,None,None,0.766,0.85
215,KMLI,80,65,5.577521099,-0.402861796,Rain,None,0.968,0.85
216,KMLU,93,75,0.874041511,-0.723820134,None,Rain,0.426,0.8
217,KMOB,94,71,-2.779620805,1.816805109,None,NA,0.418,0.95
218,KMSN,NA,NA,NA,NA,NA,NA,NA,NA
219,KMSP,82,67,3.048007186,-0.736512221,None,None,0.762,0.95
220,KMSY,93,75,-2.291945572,0.68855431,Thunderstorm,Rain,0.878,0.85
221,KMUO,87,60,8.270320447,3.109466562,Rain,Rain,0.5,0.885714286
222,KOAK,74,61,-2.628527641,-5.218483297,None,None,0.562,0.9
223,KOKC,90,73,7.673407734,0.058392045,None,None,0.65,0.9
224,KONT,86,59,7.847648841,7.215431451,None,None,0.488,0.9
225,KORD,NA,NA,NA,NA,NA,NA,NA,NA
226,KORF,85,73,3.491367943,0.617936662,Fog-Rain,None,0.696,0.95
227,KPAM,91,75,-4.317433234,0.254940984,None,Rain,0.816,0.885714286
228,KPBI,92,76,-2.227896887,0.421288137,None,Rain,0.514,0.95
229,KPDX,73,65,9.794329646,-6.600063601,None,None,0.68,0.8
230,KPHF,82,71,7.730194986,2.342667904,Rain-Thunderstorm,Rain,0.828,0.8
231,KPHL,89,73,0.13383914,-0.575938203,None,Rain,0.502,0.85
232,KPHX,106,85,1.378541362,1.443067615,None,Rain,0.604,0.9
233,KPIA,NA,NA,NA,NA,NA,NA,NA,NA
234,KPIT,83,63,0.633573748,2.291330187,Fog,None,0.626,0.9
235,KPWM,87,60,-8.429710496,1.738704248,None,Rain,0.366,0.9
236,KRDU,91,72,1.881441922,0.104113001,None,None,0.518,0.9
237,KRFD,75,61,9.295906699,2.734252944,Rain,None,0.722,0.9
238,KRIC,78,70,12.91974108,2.41940282,Rain,Rain,0.602,0.95
239,KRND,91,72,2.932056474,0.995100365,None,Rain,0.438,0.95
240,KRNO,83,56,13.02275336,7.53695616,None,None,0.546,0.95
241,KROA,85,70,1.953562998,-0.852137218,Rain,Rain,0.616,0.9
242,KROC,83,57,0.861656128,6.522379275,None,None,0.702,0.85
243,KRST,77,63,4.801143534,-1.014175313,Rain,Rain,0.532,0.8
244,KRSW,95,72,-5.211445784,2.030525899,None,Rain,0.852,0.9
245,KSAN,75,65,1.011765496,1.742191618,None,None,0.732,0.9
246,KSAT,92,74,4.071993935,2.543103449,None,Rain,0.55,0.75
247,KSAV,99,74,-6.968342755,0.029268091,None,None,0.63,0.85
248,KSBN,79,57,5.178567175,8.39612527,None,None,0.776,0.85
249,KSDF,87,67,3.254014296,4.357464257,None,Rain,0.472,0.9
250,KSEA,72,62,7.069709879,-5.565043782,None,None,0.79,0.85
251,KSFB,96,75,-4.157337579,-0.194723352,Thunderstorm,Rain,0.502,0.9
252,KSFO,73,60,-1.73746284,-4.177448354,None,None,0.7,0.95
253,KSGF,NA,NA,NA,NA,NA,NA,NA,NA
254,KSHV,94,76,0.43407951,-1.374055668,None,Rain,0.538,0.9
255,KSJC,75,58,5.173833422,-0.491757681,None,None,0.532,0.8
256,KSKA,74,62,10.02928077,-5.849725114,Rain,Rain,1,0.892857143
257,KSLC,88,66,6.662559606,3.319363195,None,None,0.614,0.9
258,KSMF,87,60,5.34358717,-1.557876682,None,None,0.588,0.9
259,KSNA,76,63,4.285824464,3.400872644,None,None,0.7,0.9
260,KSPI,83,67,4.089874341,-0.365301732,Rain-Thunderstorm,Rain,0.438,0.9
261,KSPS,92,74,7.657817168,0.966990878,None,None,0.442,0.9
262,KSRQ,97,74,-7.167088471,1.126872934,Rain-Thunderstorm,Rain,0.564,0.8
263,KSSC,99,75,-6.84918235,-2.52260962,Rain-Thunderstorm,Rain,0.634,0.9
264,KSTL,94,73,-2.515613043,-0.425337531,None,None,0.678,0.95
265,KSUS,91,71,0.080588232,-1.874890447,None,None,0.464,0.85
266,KSUU,82,58,6.840276606,-1.353445222,None,Rain,0.626,0.9
267,KSUX,89,68,-2.101076044,-3.595472906,None,None,0.456,0.85
268,KSYR,82,57,2.777716631,7.788330879,None,None,0.706,0.9
269,KSZL,89,72,-0.599958593,-3.938666597,None,None,0.52,0.85
270,KTCM,72,62,6.156921604,-9.680283712,Rain,Rain,0.444,0.95
271,KTIK,89,73,6.937210339,0.08037655,None,None,0.5,0.95
272,KTLH,98,76,-6.014707092,-3.269869242,Fog,Rain,0.438,0.9
273,KTOL,79,56,6.503882294,7.843355657,None,Rain,0.584,0.95
274,KTPA,97,79,-6.868443251,-2.391419431,Rain-Thunderstorm,None,0.57,0.85
275,KTRI,87,67,0.707695151,-0.789373336,Rain-Thunderstorm,None,0.512,0.9
276,KTUL,93,75,4.170527632,-0.814699455,None,None,0.594,0.95
277,KTUS,101,78,-0.521308867,0.108448921,None,None,0.392,0.9
278,KTYS,88,72,0.777491994,-2.240116648,Rain-Thunderstorm,None,0.43,0.9
279,KVBG,71,56,-5.520690528,-3.375303304,Fog,None,0.79,0.821428571
280,KVPS,94,74,-6.339564097,-0.361572626,Rain-Thunderstorm,None,0.496,0.85
281,KWRB,98,71,-6.301916768,1.150626837,None,Rain,0.672,0.9
282,LATI,91,62,-2.747905272,0.13561015,None,Rain,0.426,0.871428571
283,LBBG,81,64,1.539124428,1.041781743,None,None,0.562,0.85
284,LBPD,84,60,3.781524555,3.710237764,None,None,0.476,0.9
285,LBSF,80,53,6.012374259,7.254585167,None,None,0.698,0.85
286,LBWN,78,60,5.123583935,3.928787577,None,None,0.56,0.85
287,LCLK,NA,NA,NA,NA,NA,NA,NA,NA
288,LCPH,84,69,2.930162229,1.262941237,None,None,0.588,0.95
289,LDZA,87,52,-2.844910138,8.495912193,None,None,0.49,0.9
290,LEAL,86,76,1.613441128,-2.977784301,None,None,0.614,0.9
291,LEBL,82,74,-1.065009209,-3.07331585,None,None,0.584,0.9
292,LEMD,99,66,-6.711630511,-3.414969588,None,None,0.602,0.95
293,LEMG,95,74,-6.739271463,-4.066775067,None,None,0.726,0.9
294,LEPA,92,67,-5.029931241,0.474119372,None,None,0.628,0.85
295,LEST,78,56,-3.369543542,-0.657373619,None,None,0.574,0.85
296,LFBD,81,64,-0.673347442,-2.479915678,Rain,None,0.654,0.95
297,LFBO,80,67,2.499424842,-3.57373128,Rain,Rain,0.632,0.9
298,LFML,90,67,-3.526382203,0.875907832,None,None,0.55,0.9
299,LFMN,83,73,-1.771032572,-2.385297782,None,Rain,0.412,0.9
300,LFOA,82,58,-8.988825773,-0.527544527,None,None,0.464,0.5
301,LFPG,81,59,-9.328827866,-0.490708634,None,None,0.764,0.85
302,LFPO,82,55,-7.940853356,2.699497833,None,None,0.514,0.95
303,LFSB,89,52,-11.09830711,5.745291619,None,Rain,0.37,0.95
304,LGAV,84,71,6.534708901,0.574800579,None,None,0.826,0.7
305,LGIR,NA,NA,NA,NA,NA,NA,NA,NA
306,LGTS,88,69,2.783362872,1.236329125,None,None,0.376,0.95
307,LHBP,80,48,4.865021678,12.92065297,None,None,0.494,0.95
308,LIBD,89,69,-1.741764605,0.859143765,None,Rain,0.522,0.85
309,LICC,84,73,4.048130096,-6.775811099,None,TStorm,0.376,0.9
310,LICJ,84,75,-0.144982227,-1.722369879,None,None,0.52,0.95
311,LIEE,87,69,0.861602032,1.194619835,None,None,0.598,0.9
312,LIMC,87,59,-3.475906539,3.258041973,None,None,0.606,0.9
313,LIME,88,65,-3.991530477,0.828466051,None,None,0.402,0.9
314,LIMF,88,63,-5.714068835,1.054491253,None,None,0.458,0.9
315,LIMJ,86,77,-4.855012906,-5.401386944,None,None,0.48,0.95
316,LIML,88,66,-1.915241022,2.014779867,None,None,0.482,0.9
317,LIMZ,87,64,-5.148633245,-1.669705003,None,None,0.472,0.6
318,LIPE,91,64,-1.458381643,2.908787854,None,None,0.602,0.9
319,LIPH,87,62,-2.614467098,6.650107442,None,Rain,1,0.9
320,LIPX,89,62,-1.444468731,6.083543761,None,None,0.498,0.9
321,LIPZ,83,65,0.65116814,3.34659185,None,None,0.516,0.85
322,LIRA,91,71,-3.270388805,-2.832381316,None,Rain,0.642,0.95
323,LIRF,89,71,-3.892138555,-3.822042739,None,Rain,0.724,0.85
324,LIRN,91,76,-5.356200689,-6.304044694,None,Rain,0.526,0.85
325,LIRP,90,64,-5.842134422,0.935541155,None,None,0.578,0.9
326,LJLJ,84,53,-4.003087021,4.131639285,Rain-Thunderstorm,None,0.4,0.8
327,LKPR,77,44,-0.104947893,11.23469441,None,None,0.614,0.9
328,LLBG,NA,NA,NA,NA,NA,NA,NA,NA
329,LLOV,NA,NA,NA,NA,NA,NA,NA,NA
330,LMML,84,73,6.497966347,-0.293657214,None,None,0.754,0.9
331,LOWW,79,49,1.851133489,11.43960114,None,None,0.564,0.9
332,LPFR,96,67,-9.830549074,0.486373491,None,None,0.62,0.85
333,LPLA,81,62,-6.617372996,3.107978072,None,Rain,0.556,0.9
334,LPPD,73,66,-0.554692779,-2.092306224,None,Rain,0.538,0.8
335,LPPR,71,53,2.076717619,5.258500401,None,None,0.894,0.85
336,LPPT,80,62,-1.205951568,0.820847711,None,None,0.888,0.85
337,LQSA,82,50,-0.284668327,5.730109445,None,Rain,0.506,0.7
338,LROP,80,59,6.437863212,4.535285927,None,None,0.582,0.9
339,LSGG,93,60,-13.91549427,-1.086081166,None,None,0.482,0.95
340,LSZH,87,51,-11.82838871,5.561829667,None,None,0.384,0.85
341,LTAC,83,59,3.045125124,0.568165741,None,None,0.668,0.95
342,LTAF,90,74,1.515239986,-0.534194814,None,Rain,0.618,0.8
343,LTAI,86,75,7.52925609,-2.057312617,None,None,0.762,0.95
344,LTAJ,99,78,-0.787758524,-11.20443452,None,None,0.894,0.85
345,LTAZ,NA,NA,NA,NA,NA,NA,NA,NA
346,LTBA,82,72,4.360468541,-0.335420596,None,Rain,0.4,0.95
347,LTBJ,94,69,0.397486183,2.845607691,None,None,0.788,0.85
348,LTBS,91,66,0.617084694,2.29152442,Rain,None,0.504,0.95
349,LTCE,84,48,-0.320647784,3.079937846,None,None,0.78,0.95
350,LTCG,82,72,-2.158607056,-0.983955233,None,None,0.53,0.757142857
351,LTFC,89,66,1.828075228,-7.403402213,Rain-Thunderstorm,None,0.872,0.1
352,LTFE,98,66,-3.376382152,0.866985948,None,None,0.468,0.7
353,LTFJ,81,69,12.38673424,-3.719769869,Rain-Thunderstorm,None,0.762,0.1
354,LYBE,81,54,6.683314756,10.22400512,None,None,0.694,0.9
355,LYPG,91,71,0.080464397,-0.592271709,None,NA,0.532,0.85
356,LZIB,80,53,3.904073951,9.94468669,None,None,0.446,0.8
357,MDPC,86,77,2.046793032,0.161279945,Rain-Thunderstorm,Rain,0.484,0.8
358,MDSD,89,72,-0.574461077,0.445366119,Thunderstorm,TStorm,0.644,0.8
359,MKJP,90,77,-0.96133901,1.071191248,Rain-Thunderstorm,TStorm,0.478,0.9
360,MMAA,93,76,-2.722024639,0.220614122,Rain,Rain,0.804,0.95
361,MMGL,78,64,1.278286936,-2.183322393,None,None,0.468,0.95
362,MMHO,105,76,-5.408434043,0.653980446,None,None,0.674,0.257142857
363,MMMX,73,55,0.296361954,2.348037671,Rain,Rain,1,0.9
364,MMMY,93,69,-1.9103723,2.393748401,None,Rain,0.948,0.95
365,MMPR,87,75,1.944945277,0.693237474,None,Rain,0.57,0.95
366,MMSD,95,75,-2.740512903,0.993171018,None,None,0.538,0.85
367,MMTJ,73,59,5.409265363,3.355028354,None,Rain,0.56,0.85
368,MMUN,89,78,-2.434147764,-2.714093537,None,Rain,0.658,0.9
369,MPTO,93,77,-6.84120431,-1.994375407,Rain-Thunderstorm,Rain,0.646,0.95
370,MUHA,89,71,1.309930689,-0.288577974,Fog,None,0.43,0.95
371,MUVR,89,71,-0.860849405,0.782729803,None,None,0.482,0.85
