"","location","max_T","min_T","diff_max_T","diff_min_T","Precip_A","Precip_P","Probability","Quality"
"107","GOOY",87,78,-1.18771872435899,-0.513855086200607,"Thunderstorm","None",0.498,0.8
"108","HAAB",74,57,-2.91666969447141,-3.85111788703337,"Thunderstorm","None",0.5,0.5
"109","HECA",NA,NA,NA,NA,NA,NA,NA,NA
"110","HEGN",NA,NA,NA,NA,NA,NA,NA,NA
"111","HKJK",77,52,-2.06745280117826,-1.39096942002194,"None","None",0.568,0.592857142857143
"112","HKMO",84,71,-0.764184661643853,1.63123055881501,"None","None",0.508,0.792857142857143
"113","HLLT",NA,NA,NA,NA,NA,NA,NA,NA
"114","HSSS",105,87,-1.8105430628186,-8.17676943968932,"None","None",0.904,0.728571428571429
"115","KABQ",NA,NA,NA,NA,NA,NA,NA,NA
"116","KADW",82,68,4.05529825222823,1.53578842941388,"Rain","Rain",0.522,0.95
"117","KAFW",93,75,6.0956242242062,1.3035065512213,"None","Rain",0.74,0.95
"118","KAGS",99,69,-5.14474991383403,1.5113195056845,"None","None",0.392,0.95
"119","KAMA",87,66,7.93706467642637,2.14407852037692,"None","TStorm",0.426,0.9
"120","KATL",NA,NA,NA,NA,NA,NA,NA,NA
"121","KAUS",NA,NA,NA,NA,NA,NA,NA,NA
"122","KAVL",NA,NA,NA,NA,NA,NA,NA,NA
"123","KBAB",87,57,8.21689460650202,4.65275868641929,"None","Rain",0.556,0.878571428571429
"124","KBAD",93,74,1.22896050576493,0.750665248827332,"None","Rain",0.53,0.9
"125","KBDL",NA,NA,NA,NA,NA,NA,NA,NA
"126","KBFI",73,64,5.99452708003986,-5.13977662765174,"None","None",0.576,0.85
"127","KBGR",86,55,-3.84931109088144,4.63987990455071,"None","None",0.646,0.9
"128","KBHM",95,72,-3.22954474820091,1.88159137091046,"None","None",0.726,0.95
"129","KBIL",90,59,0.625185298546739,2.08329225614156,"Rain-Thunderstorm","None",0.608,0.85
"130","KBLV",92,68,-2.96420957313613,1.04355503550312,"None","Rain",0.984,0.95
"131","KBMI",NA,NA,NA,NA,NA,NA,NA,NA
"132","KBNA",NA,NA,NA,NA,NA,NA,NA,NA
"133","KBOI",86,63,9.62022718870146,2.22797802539067,"Rain-Thunderstorm","None",0.746,0.8
"134","KBOS",83,68,-0.855688520845106,-1.12177803273624,"None","None",0.68,0.9
"135","KBTR",NA,NA,NA,NA,NA,NA,NA,NA
"136","KBUF",80,58,3.42935997126955,8.35230332933236,"None","None",0.698,0.85
"137","KBWI",NA,NA,NA,NA,NA,NA,NA,NA
"138","KCAE",NA,NA,NA,NA,NA,NA,NA,NA
"139","KCBM",94,71,-2.98769002044617,1.32777095515279,"None","None",0.528,0.828571428571429
"140","KCHA",92,73,-1.8753970595981,-0.993748860020972,"Rain-Thunderstorm","Rain",0.398,0.8
"141","KCHS",NA,NA,NA,NA,NA,NA,NA,NA
"142","KCID",80,64,2.78952496077194,-1.11949641200584,"Rain","None",0.776,0.95
"143","KCLE",NA,NA,NA,NA,NA,NA,NA,NA
"144","KCLT",96,67,-6.28354787970939,3.30203691240686,"None","Rain",0.424,0.9
"145","KCMH",82,60,4.34453952002865,7.60583689679342,"None","None",0.72,0.95
"146","KCOS",NA,NA,NA,NA,NA,NA,NA,NA
"147","KCPR",NA,NA,NA,NA,NA,NA,NA,NA
"148","KCRP",NA,NA,NA,NA,NA,NA,NA,NA
"149","KCRW",82,66,5.58921892267449,1.13603380254236,"Rain","None",0.636,0.9
"150","KCVG",83,61,3.73699684932515,6.29556166042715,"Fog","None",0.652,0.8
"151","KCVS",87,65,3.57298189350671,0.972383627044266,"Rain-Thunderstorm","Rain",1,0.914285714285714
"152","KDAL",NA,NA,NA,NA,NA,NA,NA,NA
"153","KDAY",81,63,6.2149646411134,4.09153518126161,"None","None",0.594,0.8
"154","KDBQ",75,62,6.8297817876191,0.00664700012943342,"Rain","None",0.538,0.95
"155","KDCA",88,75,1.79242930583428,-1.25113049401961,"Rain","None",0.724,0.8
"156","KDEN",NA,NA,NA,NA,NA,NA,NA,NA
"157","KDFW",NA,NA,NA,NA,NA,NA,NA,NA
"158","KDLF",93,72,1.56808069321519,2.45768340516135,"None","Rain",0.732,0.892857142857143
"159","KDLH",82,67,-4.90593069787201,-9.89712631955162,"None","Rain",0.646,0.85
"160","KDOV",85,71,0.8748583887715,-0.662738584312407,"Rain","Rain",0.704,0.95
"161","KDSM",86,70,0.908453614507451,-2.20353595230661,"Rain-Thunderstorm","None",0.552,0.85
"162","KDTW",83,60,3.13135738360489,6.95265270505338,"None","None",0.664,0.8
"163","KDYS",91,69,7.41701692676277,4.79618587597344,"None","Rain",0.666,0.807142857142857
"164","KEDW",91,60,9.05998502571057,9.59948635500707,"None","None",0.586,0.892857142857143
"165","KEND",91,72,5.51629672751194,0.468944082027747,"None","Rain",1,0.907142857142857
"166","KERI",NA,NA,NA,NA,NA,NA,NA,NA
"167","KEWR",NA,NA,NA,NA,NA,NA,NA,NA
"168","KFFO",NA,NA,NA,NA,NA,NA,NA,NA
"169","KFLL",91,81,-2.57766630339025,-4.38231044450991,"None","Rain",0.486,0.75
"170","KFSM",NA,NA,NA,NA,NA,NA,NA,NA
"171","KFTW",NA,NA,NA,NA,NA,NA,NA,NA
"172","KFWA",NA,NA,NA,NA,NA,NA,NA,NA
"173","KGEG",NA,NA,NA,NA,NA,NA,NA,NA
"174","KGPT",93,75,-1.42841506149156,0.7639833155378,"None","None",0.548,0.95
"175","KGRB",NA,NA,NA,NA,NA,NA,NA,NA
"176","KGSB",96,73,-6.19620300832011,-1.28436931121469,"None","Rain",0.876,0.95
"177","KGSO",91,72,-1.85541046891036,-0.782989380796693,"None","None",0.492,0.95
"178","KGSP",96,71,-6.13509152782979,-0.263472163630396,"Rain","None",0.648,0.95
"179","KGUS",80,57,5.32398775224777,8.59523344709048,"Fog-Rain","Rain",0.948,0.842857142857143
"180","KHIB",82,53,-4.25437268827464,-3.38737097613991,"None","None",0.546,0.95
"181","KHMN",91,63,3.96633956672414,8.08895829479468,"Rain","Rain",0.626,0.807142857142857
"182","KHOU",93,75,0.384606158817704,0.663328633766653,"None","Rain",0.506,0.9
"183","KHSV",97,75,-5.34757592460461,-3.11853834497987,"None","None",0.662,0.95
"184","KHTS",77,65,9.79219476638642,1.42548398257817,"Rain","None",0.774,0.95
"185","KIAD",84,64,5.06231491974602,5.36943057620859,"Rain","None",0.816,0.85
"186","KIAH",93,75,-0.239032350205605,1.32302854531977,"None","Rain",0.648,0.95
"187","KICT",91,74,3.54594708448299,-2.64937082027021,"None","None",0.664,0.8
"188","KIND",NA,NA,NA,NA,NA,NA,NA,NA
"189","KJAN",94,76,-2.08533765922799,-2.80075386238346,"Rain-Thunderstorm","Rain",0.52,0.85
"190","KJAX",NA,NA,NA,NA,NA,NA,NA,NA
"191","KJFK",NA,NA,NA,NA,NA,NA,NA,NA
"192","KJLN",NA,NA,NA,NA,NA,NA,NA,NA
"193","KLAS",NA,NA,NA,NA,NA,NA,NA,NA
"194","KLAX",73,62,0.843081022717783,1.94526163178273,"None","Fog",0.364,0.95
"195","KLBB",88,70,6.79210969168858,-0.121292778953503,"Rain","None",0.472,0.95
"196","KLCK",80,62,6.53178295010768,5.41776718304575,"None","None",0.584,0.85
"197","KLEX",82,66,5.72592126268937,1.40879868444443,"None","Rain",0.5,0.85
"198","KLFI",82,71,4.60476253458883,2.29192711862468,"Fog-Rain-Thunderstorm","Rain",1,0.892857142857143
"199","KLFT",95,75,-3.43101954937465,-0.0925189495802812,"Thunderstorm","None",0.38,0.95
"200","KLGA",86,72,0.564525212472802,0.640889902029045,"None","Rain",0.882,0.95
"201","KLIT",93,76,-0.208105595908577,-2.45590843295408,"None","None",0.498,0.9
"202","KLTS",95,71,3.09939447449854,1.45080970585923,"None","Rain",0.992,0.857142857142857
"203","KLUF",102,84,2.91329000326266,-0.12774256496931,"Rain","Rain",0.684,0.928571428571429
"204","KMBS",84,62,-1.90027852683285,0.695746444018077,"None","None",0.51,0.95
"205","KMCF",95,77,-4.31328318315312,-2.03940232194704,"Rain-Thunderstorm","Rain",0.658,0.9
"206","KMCI",NA,NA,NA,NA,NA,NA,NA,NA
"207","KMCO",97,74,-5.42009175220545,-0.111139805132908,"Rain-Thunderstorm","Rain",0.39,0.9
"208","KMDW",81,65,3.80758477831712,3.83371561915214,"Rain","None",0.842,0.9
"209","KMEM",NA,NA,NA,NA,NA,NA,NA,NA
"210","KMGE",93,73,-4.59837199299207,-1.83305276591227,"None","None",0.64,0.9
"211","KMGM",94,76,-0.122696758374701,-2.67026846879912,"Rain-Thunderstorm","None",0.662,0.85
"212","KMHT",89,63,-4.66852808955407,2.95141236119176,"None","None",0.602,0.9
"213","KMIA",NA,NA,NA,NA,NA,NA,NA,NA
"214","KMKE",78,63,3.0960611380349,1.51082779408769,"None","None",0.766,0.85
"215","KMLI",NA,NA,NA,NA,NA,NA,NA,NA
"216","KMLU",93,75,0.874041511099108,-0.723820133590863,"None","Rain",0.426,0.8
"217","KMOB",NA,NA,NA,NA,NA,NA,NA,NA
"218","KMSN",NA,NA,NA,NA,NA,NA,NA,NA
"219","KMSP",82,67,3.04800718606739,-0.736512221039163,"None","None",0.762,0.95
"220","KMSY",93,75,-2.29194557240766,0.68855430995805,"Thunderstorm","Rain",0.878,0.85
"221","KMUO",NA,NA,NA,NA,NA,NA,NA,NA
"222","KOAK",74,61,-2.62852764141694,-5.21848329690133,"None","None",0.562,0.9
"223","KOKC",NA,NA,NA,NA,NA,NA,NA,NA
"224","KONT",NA,NA,NA,NA,NA,NA,NA,NA
"225","KORD",NA,NA,NA,NA,NA,NA,NA,NA
"226","KORF",85,73,3.49136794267065,0.61793666224429,"Fog-Rain","None",0.696,0.95
"227","KPAM",91,75,-4.31743323421695,0.25494098381472,"None","Rain",0.816,0.885714285714286
"228","KPBI",92,76,-2.22789688687791,0.42128813705024,"None","Rain",0.514,0.95
"229","KPDX",73,65,9.79432964620364,-6.60006360123425,"None","None",0.68,0.8
"230","KPHF",82,71,7.7301949862304,2.34266790448132,"Rain-Thunderstorm","Rain",0.828,0.8
"231","KPHL",NA,NA,NA,NA,NA,NA,NA,NA
"232","KPHX",106,85,1.37854136245382,1.44306761460278,"None","Rain",0.604,0.9
"233","KPIA",NA,NA,NA,NA,NA,NA,NA,NA
"234","KPIT",83,63,0.633573748465196,2.29133018696265,"Fog","None",0.626,0.9
"235","KPWM",NA,NA,NA,NA,NA,NA,NA,NA
"236","KRDU",91,72,1.88144192244036,0.104113000506786,"None","None",0.518,0.9
"237","KRFD",75,61,9.29590669891672,2.73425294387523,"Rain","None",0.722,0.9
"238","KRIC",NA,NA,NA,NA,NA,NA,NA,NA
"239","KRND",NA,NA,NA,NA,NA,NA,NA,NA
"240","KRNO",83,56,13.0227533577415,7.53695615976845,"None","None",0.546,0.95
"241","KROA",85,70,1.95356299800683,-0.852137217504648,"Rain","Rain",0.616,0.9
"242","KROC",NA,NA,NA,NA,NA,NA,NA,NA
"243","KRST",NA,NA,NA,NA,NA,NA,NA,NA
"244","KRSW",NA,NA,NA,NA,NA,NA,NA,NA
"245","KSAN",NA,NA,NA,NA,NA,NA,NA,NA
"246","KSAT",92,74,4.0719939353617,2.54310344880187,"None","Rain",0.55,0.75
"247","KSAV",NA,NA,NA,NA,NA,NA,NA,NA
"248","KSBN",79,57,5.17856717458403,8.39612526976761,"None","None",0.776,0.85
"249","KSDF",87,67,3.25401429643482,4.35746425651575,"None","Rain",0.472,0.9
"250","KSEA",72,62,7.0697098790247,-5.56504378170649,"None","None",0.79,0.85
"251","KSFB",96,75,-4.15733757929658,-0.194723352234774,"Thunderstorm","Rain",0.502,0.9
"252","KSFO",73,60,-1.73746283992315,-4.17744835438943,"None","None",0.7,0.95
"253","KSGF",NA,NA,NA,NA,NA,NA,NA,NA
"254","KSHV",NA,NA,NA,NA,NA,NA,NA,NA
"255","KSJC",75,58,5.17383342240721,-0.491757681474262,"None","None",0.532,0.8
"256","KSKA",74,62,10.0292807699718,-5.84972511406456,"Rain","Rain",1,0.892857142857143
"257","KSLC",NA,NA,NA,NA,NA,NA,NA,NA
"258","KSMF",87,60,5.34358716951512,-1.55787668239533,"None","None",0.588,0.9
"259","KSNA",76,63,4.28582446395889,3.40087264358263,"None","None",0.7,0.9
"260","KSPI",NA,NA,NA,NA,NA,NA,NA,NA
"261","KSPS",NA,NA,NA,NA,NA,NA,NA,NA
"262","KSRQ",97,74,-7.16708847081988,1.12687293416937,"Rain-Thunderstorm","Rain",0.564,0.8
"263","KSSC",99,75,-6.84918235046372,-2.52260961980072,"Rain-Thunderstorm","Rain",0.634,0.9
"264","KSTL",94,73,-2.515613042841,-0.425337531258805,"None","None",0.678,0.95
"265","KSUS",NA,NA,NA,NA,NA,NA,NA,NA
"266","KSUU",82,58,6.8402766058641,-1.3534452219902,"None","Rain",0.626,0.9
"267","KSUX",NA,NA,NA,NA,NA,NA,NA,NA
"268","KSYR",82,57,2.77771663067776,7.78833087886466,"None","None",0.706,0.9
"269","KSZL",89,72,-0.599958592630955,-3.93866659652109,"None","None",0.52,0.85
"270","KTCM",72,62,6.15692160389777,-9.68028371222917,"Rain","Rain",0.444,0.95
"271","KTIK",89,73,6.93721033859484,0.0803765495826525,"None","None",0.5,0.95
"272","KTLH",98,76,-6.01470709201639,-3.26986924186765,"Fog","Rain",0.438,0.9
"273","KTOL",79,56,6.50388229393738,7.84335565651554,"None","Rain",0.584,0.95
"274","KTPA",97,79,-6.86844325081999,-2.39141943112976,"Rain-Thunderstorm","None",0.57,0.85
"275","KTRI",NA,NA,NA,NA,NA,NA,NA,NA
"276","KTUL",93,75,4.1705276315311,-0.814699455498854,"None","None",0.594,0.95
"277","KTUS",101,78,-0.521308867126635,0.108448921454666,"None","None",0.392,0.9
"278","KTYS",88,72,0.777491994113959,-2.24011664810888,"Rain-Thunderstorm","None",0.43,0.9
"279","KVBG",NA,NA,NA,NA,NA,NA,NA,NA
"280","KVPS",94,74,-6.33956409675407,-0.36157262550141,"Rain-Thunderstorm","None",0.496,0.85
"281","KWRB",98,71,-6.30191676770377,1.15062683659654,"None","Rain",0.672,0.9
"282","LATI",NA,NA,NA,NA,NA,NA,NA,NA
"283","LBBG",81,64,1.53912442841617,1.0417817430861,"None","None",0.562,0.85
"284","LBPD",NA,NA,NA,NA,NA,NA,NA,NA
"285","LBSF",NA,NA,NA,NA,NA,NA,NA,NA
"286","LBWN",NA,NA,NA,NA,NA,NA,NA,NA
"287","LCLK",NA,NA,NA,NA,NA,NA,NA,NA
"288","LCPH",84,69,2.93016222923225,1.26294123705733,"None","None",0.588,0.95
"289","LDZA",NA,NA,NA,NA,NA,NA,NA,NA
"290","LEAL",NA,NA,NA,NA,NA,NA,NA,NA
"291","LEBL",82,74,-1.06500920893269,-3.07331585019601,"None","None",0.584,0.9
"292","LEMD",99,66,-6.71163051148302,-3.4149695878606,"None","None",0.602,0.95
"293","LEMG",95,74,-6.73927146292417,-4.06677506738031,"None","None",0.726,0.9
"294","LEPA",NA,NA,NA,NA,NA,NA,NA,NA
"295","LEST",NA,NA,NA,NA,NA,NA,NA,NA
"296","LFBD",81,64,-0.673347442464561,-2.47991567810178,"Rain","None",0.654,0.95
"297","LFBO",80,67,2.49942484162595,-3.57373128044138,"Rain","Rain",0.632,0.9
"298","LFML",90,67,-3.52638220316817,0.875907832335514,"None","None",0.55,0.9
"299","LFMN",83,73,-1.77103257152571,-2.3852977823413,"None","Rain",0.412,0.9
"300","LFOA",NA,NA,NA,NA,NA,NA,NA,NA
"301","LFPG",81,59,-9.32882786567291,-0.490708634170282,"None","None",0.764,0.85
"302","LFPO",82,55,-7.94085335570506,2.69949783285023,"None","None",0.514,0.95
"303","LFSB",NA,NA,NA,NA,NA,NA,NA,NA
"304","LGAV",NA,NA,NA,NA,NA,NA,NA,NA
"305","LGIR",NA,NA,NA,NA,NA,NA,NA,NA
"306","LGTS",NA,NA,NA,NA,NA,NA,NA,NA
"307","LHBP",80,48,4.86502167767951,12.9206529688224,"None","None",0.494,0.95
"308","LIBD",89,69,-1.74176460457451,0.859143765146371,"None","Rain",0.522,0.85
"309","LICC",84,73,4.04813009586826,-6.77581109856504,"None","TStorm",0.376,0.9
"310","LICJ",NA,NA,NA,NA,NA,NA,NA,NA
"311","LIEE",NA,NA,NA,NA,NA,NA,NA,NA
"312","LIMC",NA,NA,NA,NA,NA,NA,NA,NA
"313","LIME",NA,NA,NA,NA,NA,NA,NA,NA
"314","LIMF",88,63,-5.7140688354056,1.05449125302428,"None","None",0.458,0.9
"315","LIMJ",86,77,-4.85501290586531,-5.4013869440669,"None","None",0.48,0.95
"316","LIML",88,66,-1.91524102190193,2.01477986698625,"None","None",0.482,0.9
"317","LIMZ",87,64,-5.14863324526971,-1.66970500333861,"None","None",0.472,0.6
"318","LIPE",91,64,-1.45838164303751,2.90878785362437,"None","None",0.602,0.9
"319","LIPH",NA,NA,NA,NA,NA,NA,NA,NA
"320","LIPX",89,62,-1.44446873077592,6.08354376059282,"None","None",0.498,0.9
"321","LIPZ",NA,NA,NA,NA,NA,NA,NA,NA
"322","LIRA",91,71,-3.27038880477325,-2.83238131574329,"None","Rain",0.642,0.95
"323","LIRF",NA,NA,NA,NA,NA,NA,NA,NA
"324","LIRN",NA,NA,NA,NA,NA,NA,NA,NA
"325","LIRP",NA,NA,NA,NA,NA,NA,NA,NA
"326","LJLJ",84,53,-4.00308702081882,4.13163928548731,"Rain-Thunderstorm","None",0.4,0.8
"327","LKPR",77,44,-0.104947892505692,11.2346944080065,"None","None",0.614,0.9
"328","LLBG",NA,NA,NA,NA,NA,NA,NA,NA
"329","LLOV",NA,NA,NA,NA,NA,NA,NA,NA
"330","LMML",84,73,6.49796634667486,-0.293657214043066,"None","None",0.754,0.9
"331","LOWW",79,49,1.85113348916462,11.4396011367277,"None","None",0.564,0.9
"332","LPFR",96,67,-9.83054907402909,0.486373490544068,"None","None",0.62,0.85
"333","LPLA",NA,NA,NA,NA,NA,NA,NA,NA
"334","LPPD",NA,NA,NA,NA,NA,NA,NA,NA
"335","LPPR",71,53,2.07671761929373,5.25850040089009,"None","None",0.894,0.85
"336","LPPT",80,62,-1.20595156842305,0.820847710625614,"None","None",0.888,0.85
"337","LQSA",82,50,-0.284668327218498,5.73010944473288,"None","Rain",0.506,0.7
"338","LROP",80,59,6.43786321227714,4.53528592662838,"None","None",0.582,0.9
"339","LSGG",93,60,-13.9154942701407,-1.08608116644065,"None","None",0.482,0.95
"340","LSZH",NA,NA,NA,NA,NA,NA,NA,NA
"341","LTAC",83,59,3.04512512353421,0.568165741199948,"None","None",0.668,0.95
"342","LTAF",NA,NA,NA,NA,NA,NA,NA,NA
"343","LTAI",NA,NA,NA,NA,NA,NA,NA,NA
"344","LTAJ",NA,NA,NA,NA,NA,NA,NA,NA
"345","LTAZ",NA,NA,NA,NA,NA,NA,NA,NA
"346","LTBA",82,72,4.36046854054968,-0.335420595812636,"None","Rain",0.4,0.95
"347","LTBJ",NA,NA,NA,NA,NA,NA,NA,NA
"348","LTBS",NA,NA,NA,NA,NA,NA,NA,NA
"349","LTCE",84,48,-0.320647784292319,3.07993784624673,"None","None",0.78,0.95
"350","LTCG",82,72,-2.15860705628309,-0.983955233455788,"None","None",0.53,0.757142857142857
"351","LTFC",NA,NA,NA,NA,NA,NA,NA,NA
"352","LTFE",NA,NA,NA,NA,NA,NA,NA,NA
